0	187	23
1	171	74
2	222	93
3	266	106
4	150	161
5	208	132
6	1395	822
7	1098	880
8	1092	766
9	1399	759
10	881	872
11	1076	533
12	1082	667
13	1221	661
14	1229	552
15	942	507
16	873	489
17	786	462
18	743	455
19	644	414
20	477	355
21	279	286
22	216	266
23	149	237
24	194	315
25	198	445
26	143	468
27	109	311
28	76	371
29	20	492
30	241	550
31	407	601
32	417	563
33	437	515
34	437	489
35	465	411
36	316	457
37	313	487
38	264	485
39	228	681
40	250	711
41	288	720
42	356	735
43	376	709
44	440	725
45	531	750
46	657	792
47	669	776
48	654	679
49	720	618
50	718	568
51	875	596
52	849	666
53	872	706
54	732	746
55	840	822
56	825	875
57	748	886
58	730	852
59	973	311
60	1012	223
61	1031	182
62	1093	200
63	1106	159
64	1150	48
65	1029	335
66	1127	333
67	1214	351
68	1185	437
69	1274	465
70	1273	561
71	1287	614
72	1332	560
73	1321	457
74	1315	378
75	1344	368
76	1355	439
77	1383	487
78	487	241
79	414	167
80	485	124
81	575	89
82	585	202
83	747	79
84	631	328
85	803	194
86	814	253
87	860	76
88	893	152
89	939	81
90	985	80
91	1026	69
92	930	200
93	884	285
94	822	347
95	734	358
96	608	361
97	695	404
98	1153	230
99	1223	154
